,precision,recall
0,0.9162303664921466,0.7847533632286996
1,0.9162303664921466,0.7847533632286996
2,0.9162303664921466,0.7871064467766117
3,0.9162303664921466,0.7900677200902935
4,0.9171907756813418,0.7954545454545454
5,0.9181977252843394,0.8008393742846242
6,0.9196093163035312,0.8049983558040118
7,0.9212779973649539,0.8086152067071408
8,0.9225806451612903,0.8118709677419355
9,0.9238699444885012,0.8144954556047541
10,0.9249278152069298,0.8168295792605185
11,0.9258114374034003,0.8191052940027349
12,0.9265605875152999,0.8214867064568638
13,0.9273658259055566,0.8240647118301314
14,0.9280652019844082,0.8263132986275438
15,0.9286783042394015,0.8285375259566894
16,0.9293657008613939,0.8305108467459762
17,0.9299777942264988,0.8327147401908802
18,0.9307778713844426,0.8348866498740554
19,0.9314995326478835,0.8369526094781043
